"name" "rpkm" "sample"
"1547" "MH0014_GL0025980" 4245.44322427261 "164HP"
"1573" "MH0332_GL0039644" 2536.78335870117 "164HP"
"1582" "685038.NRG857_05585" 2990.96727881797 "164HP"
"1592" "V1.CD7-0-PN_GL0019361" 1953.22673055888 "164HP"
"1595" "MH0014_GL0094920" 17808.2191780822 "164HP"
"1600" "DOM012_GL0017939" 2644.5231924684 "164HP"
"1601" "MH0014_GL0046009" 13482.9036781361 "164HP"
"1602" "MH0315_GL0034880" 1983.3923943513 "164HP"
"1605" "NLM015_GL0042141" 2262.98956007483 "164HP"
"1624" "MH0014_GL0078400" 7947.51748453847 "164HP"
"1625" "MH0343_GL0050020" 5731.64440878088 "164HP"
"1642" "T2D-13A_GL0081725" 5879.24040214004 "164HP"
"1645" "670892.EC3431_2388" 8408.75733855186 "164HP"
"1647" "MH0014_GL0021577" 17472.7425216662 "164HP"
"1651" "MH0415_GL0204931" 7510.21389089161 "164HP"
"1666" "198215.S4169" 2952.29097779877 "164HP"
"1672" "N075A_GL0121545" 14524.217221135 "164HP"
"1678" "754093.SD1617_5297" 2885.94736032015 "164HP"
"1679" "MH0298_GL0107259" 11622.1409533255 "164HP"
"1722" "766142.SD15574_5423" 2661.65093335226 "164HP"
"172426" "MH0014_GL0004837" 14482.3826075104 "164HP"
"1739" "DLM023_GL0041511" 2869.82474936864 "164HP"
"1740" "NOM018_GL0071403" 11106.9974083673 "164HP"
"1744" "MH0415_GL0218679" 4864.5703611457 "164HP"
"1760" "MH0415_GL0045589" 5096.21656881931 "164HP"
"1761" "DLM020_GL0035212" 4029.0088638195 "164HP"
"1770" "V1.CD41-0_GL0132529" 13454.011741683 "164HP"
"1788" "SZEY-95A_GL0035867" 3567.35159817352 "164HP"
"1798" "MH0330_GL0092751" 23782.3439878234 "164HP"
"1816" "766147.SFK227_0427" 6008.17111271329 "164HP"
"1842" "766139.SB359474_1152" 5464.87904401049 "164HP"
"3153" "1033813.ECNA114_2452" 20130.6479049028 "162HP"
"14139" "MH0014_GL0105798" 15212.364609955 "162HP"
"40104" "932676.SGB_03571" 30643.9833092438 "162HP"
"75101" "MH0257_GL0115220" 31212.9346401149 "162HP"
"94106" "550687.ERDG_03360" 29314.337642541 "162HP"
"18259" "MH0014_GL0094960" 29078.5022632768 "162HP"
"19544" "MH0238_GL0094567" 41797.7199343776 "162HP"
"21049" "MH0014_GL0094942" 32858.7075575027 "162HP"
"276" "N028A_GL0035534" 129272.454625368 "162HP"
"279" "MH0458_GL0103801" 50358.1725019199 "162HP"
"286" "V1.CD25-4_GL0144579" 37887.3986512086 "162HP"
"313" "V1.UC5-0_GL0102120" 76821.6329718449 "162HP"
